# z       Lx0124      eLx         LAMBDACHISQ   LAMBDACHISQE  
  0.466   3.6907E44   8.2918E43   43.45038      23.986586     
  0.505   2.9548E44   8.7223E43   5.587534      4.751828      
  0.377   1.258E44    3.5653E43   23.17652      3.266542      
  0.133   1.1933E43   4.576E42    5.3129444     1.3807596     
  0.312   1.9469E44   4.1128E43   14.526949     2.224303      
  0.082   1.4672E43   2.4723E42   5.633299      1.3278117     
  0.064   6.272E42    1.303E42    8.470724      2.4507551     
  0.353   1.1823E44   3.4889E43   5.9078884     1.6082062     
  0.499   2.9749E44   7.2904E43   7.418131      7.224958      
  0.069   2.8521E43   3.6076E42   7.5096607     1.11329       
  0.557   2.5506E44   8.4693E43   7.7079754     9.152765      
  0.47    1.1871E44   5.4309E43   23.908758     23.011984     
  0.592   4.7772E44   1.1465E44   12.192938     15.703364     
  0.475   1.5435E44   7.9178E43   6.121458      4.923693      
  0.542   2.8225E44   1.0448E44   6.5028324     9.121128      
  0.286   5.5123E43   1.9498E43   18.142378     2.6438425     
  0.547   2.4734E44   6.8691E43   6.9604816     8.328781      
  0.525   2.5248E44   8.1105E43   7.0215015     7.7941856     
  0.06    1.1598E43   1.5186E42   9.752142      3.5175798     
  0.358   2.1806E44   4.2277E43   71.48902      4.3487506     
  0.575   2.3024E44   1.065E44    47.55397      42.870014     
  0.236   6.9976E43   2.3701E43   5.572279      1.8279828     
  0.369   1.0745E44   3.0035E43   6.8994617     2.360411      
  0.545   2.5516E44   9.2949E43   17.974573     29.703924     
  0.319   7.7016E43   2.1851E43   8.806334      2.057111      
  0.274   1.1429E44   2.1279E43   38.187416     2.9589477     
  0.082   5.6173E42   1.8119E42   6.853697      1.2790822     
  0.057   1.6508E43   3.4645E42   10.240301     2.7402844     
  0.108   1.1068E44   1.4181E43   33.534645     2.2262778     
  0.123   2.3089E43   8.7517E42   7.5249157     1.4525795     
